name,reactants,products,reaction_rate,kinetic_law,kinetic_expression
Reaction_47,T2,,k_T2_death*V_C.T2,,
Reaction_48,T2,,k_T2_death*V_P.T2,,
Reaction_49,T2,T_exh,k_T2_death*V_T.T2,,
Reaction_50,T2,,k_T2_death*V_LN.T2,,
Reaction_51,T2,T_exh,k_Treg*V_T.T2*Tregs_/(C_total+T_total+cell),,
Reaction_52,T2,T_exh,k_T2*V_T.T2*C_total/(C_total+T_total+cell)*H_PD1_C1,,
Reaction_53,T2,T2,q_T2_P_in*V_C.T2,,
Reaction_54,T2,T2,q_T2_P_out*V_P.T2,,
Reaction_55,T2,T2,q_T2_T_in*V_T*V_C.T2,,
Reaction_56,T2,T2,q_T2_LN_out*V_LN.T2,,
Reaction_57,,IL2,k_IL2_sec*V_LN.aT2,,
Reaction_58,C1,C_x,k_C_T2*V_T.T2*V_T.C1/(C_total+T_total+cell)*(1-H_PD1_C1),,
Reaction_59,C2,C_x,k_C_T2*V_T.T2*V_T.C2/(C_total+T_total+cell)*(1-H_PD1_C1),,
Reaction_60,nivolumab,nivolumab,q_P_nivolumab*(V_C.nivolumab/gamma_C_nivolumab-V_P.nivolumab/gamma_P_nivolumab),,
Reaction_61,nivolumab,nivolumab,q_T_nivolumab*(V_C.nivolumab/gamma_C_nivolumab-V_T.nivolumab/gamma_T_nivolumab),,
Reaction_62,nivolumab,nivolumab,q_LN_nivolumab*(V_C.nivolumab/gamma_C_nivolumab-V_LN.nivolumab/gamma_LN_nivolumab),,
Reaction_63,nivolumab,nivolumab,q_LD_nivolumab*V_T.nivolumab/gamma_T_nivolumab,,
Reaction_64,nivolumab,nivolumab,q_LD_nivolumab*V_LN.nivolumab/gamma_LN_nivolumab,,
Reaction_65,nivolumab,,k_cl_nivolumab*V_C.nivolumab,,
Reaction_66,PD1;PDL1,PD1_PDL1,kon_PD1_PDL1*(syn_T1_C1.PD1)*(syn_T1_C1.PDL1)  -  koff_PD1_PDL1*syn_T1_C1.PD1_PDL1,,
Reaction_67,PD1;PDL2,PD1_PDL2,kon_PD1_PDL2*(syn_T1_C1.PD1)*(syn_T1_C1.PDL2)  -  koff_PD1_PDL2*syn_T1_C1.PD1_PDL2,,
Reaction_68,PD1,PD1_aPD1,2*kon_PD1_aPD1*(syn_T1_C1.PD1*aPD1/gamma_C_nivolumab) -  koff_PD1_aPD1*syn_T1_C1.PD1_aPD1,,
Reaction_69,PD1_aPD1;PD1,PD1_aPD1_PD1,Chi_PD1*kon_PD1_aPD1*(syn_T1_C1.PD1 * syn_T1_C1.PD1_aPD1) -  2*koff_PD1_aPD1*syn_T1_C1.PD1_aPD1_PD1,,
Reaction_70,PDL1,PDL1_aPDL1,2*kon_PDL1_aPDL1*(syn_T1_C1.PDL1 *aPDL1/1) -  koff_PDL1_aPDL1*syn_T1_C1.PDL1_aPDL1,,
Reaction_71,PDL1_aPDL1;PDL1,PDL1_aPDL1_PDL1,Chi_PDL1*kon_PDL1_aPDL1*(syn_T1_C1.PDL1 * syn_T1_C1.PDL1_aPDL1) -  2*koff_PDL1_aPDL1*syn_T1_C1.PDL1_aPDL1_PDL1,,
